image_id,label
test_1000a,candy
test_1000b,honey
test_1000c,oil
test_1000d,water
test_1001a,candy
test_1001b,chocolate
test_1001c,juice
test_1001d,honey
test_1002a,candy
test_1002b,tea
test_1002c,honey
test_1002d,flour
test_1003a,milk
test_1003b,coffee
test_1003c,tomatosauce
test_1003d,tomatosauce
test_1004a,water
test_1004b,coffee
test_1004c,chocolate
test_1004d,tomatosauce
test_1005a,honey
test_1005b,coffee
test_1005c,honey
test_1005d,candy
test_1006a,chocolate
test_1006b,tea
test_1006c,tomatosauce
test_1006d,jam
test_1007a,milk
test_1007b,soda
test_1007c,chocolate
test_1007d,tomatosauce
test_1008a,water
test_1008b,flour
test_1008c,cake
test_1008d,oil
test_1009a,water
test_1009b,water
test_1009c,milk
test_1009d,honey
test_1010a,chocolate
test_1010b,chocolate
test_1010c,water
test_1010d,spices
test_1011a,tomatosauce
test_1011b,juice
test_1011c,tomatosauce
test_1011d,cake
test_1012a,candy
test_1012b,spices
test_1012c,tea
test_1012d,soda
test_1013a,candy
test_1013b,candy
test_1013c,jam
test_1013d,jam
test_1014a,candy
test_1014b,coffee
test_1014c,water
test_1014d,beans
test_1015a,cake
test_1015b,oil
test_1015c,tomatosauce
test_1015d,tea
test_1016a,vinegar
test_1016b,cereal
test_1016c,cereal
test_1016d,oil
test_1017a,rice
test_1017b,pasta
test_1017c,milk
test_1017d,chocolate
test_1018a,candy
test_1018b,chocolate
test_1018c,tomatosauce
test_1018d,candy
test_1019a,milk
test_1019b,honey
test_1019c,candy
test_1019d,honey
test_1020a,water
test_1020b,cake
test_1020c,oil
test_1020d,chocolate
test_1021a,tomatosauce
test_1021b,water
test_1021c,candy
test_1021d,chocolate
test_1022a,oil
test_1022b,honey
test_1022c,candy
test_1022d,honey
test_1023a,candy
test_1023b,candy
test_1023c,rice
test_1023d,water
test_1024a,spices
test_1024b,oil
test_1024c,coffee
test_1024d,candy
test_1025a,candy
test_1025b,water
test_1025c,fish
test_1025d,jam
test_1026a,tea
test_1026b,tomatosauce
test_1026c,jam
test_1026d,oil
test_1027a,chocolate
test_1027b,coffee
test_1027c,tea
test_1027d,flour
test_1028a,tea
test_1028b,nuts
test_1028c,cereal
test_1028d,milk
test_1029a,candy
test_1029b,water
test_1029c,water
test_1029d,candy
test_1030a,spices
test_1030b,water
test_1030c,rice
test_1030d,jam
test_1031a,chocolate
test_1031b,water
test_1031c,honey
test_1031d,chocolate
test_1032a,milk
test_1032b,juice
test_1032c,water
test_1032d,tea
test_1033a,flour
test_1033b,water
test_1033c,chocolate
test_1033d,cake
test_1034a,fish
test_1034b,fish
test_1034c,soda
test_1034d,tea
test_1035a,milk
test_1035b,chocolate
test_1035c,chocolate
test_1035d,jam
test_1036a,coffee
test_1036b,jam
test_1036c,honey
test_1036d,tea
test_1037a,chocolate
test_1037b,honey
test_1037c,juice
test_1037d,candy
test_1038a,nuts
test_1038b,chocolate
test_1038c,flour
test_1038d,honey
test_1039a,tomatosauce
test_1039b,chocolate
test_1039c,chocolate
test_1039d,candy
test_1040a,cereal
test_1040b,chips
test_1040c,chocolate
test_1040d,water
test_1041a,juice
test_1041b,milk
test_1041c,chocolate
test_1041d,chocolate
test_1042a,corn
test_1042b,juice
test_1042c,milk
test_1042d,tea
test_1043a,tomatosauce
test_1043b,milk
test_1043c,milk
test_1043d,oil
test_1044a,water
test_1044b,tea
test_1044c,water
test_1044d,candy
test_1045a,milk
test_1045b,chocolate
test_1045c,tomatosauce
test_1045d,chocolate
test_1046a,tomatosauce
test_1046b,candy
test_1046c,chocolate
test_1046d,soda
test_1047a,coffee
test_1047b,water
test_1047c,tomatosauce
test_1047d,chocolate
test_1048a,fish
test_1048b,chocolate
test_1048c,soda
test_1048d,candy
test_1049a,milk
test_1049b,cereal
test_1049c,water
test_1049d,coffee
test_1050a,tea
test_1050b,tea
test_1050c,jam
test_1050d,chips
test_1051a,honey
test_1051b,candy
test_1051c,tomatosauce
test_1051d,coffee
test_1052a,tomatosauce
test_1052b,milk
test_1052c,juice
test_1052d,cake
test_1053a,water
test_1053b,milk
test_1053c,chocolate
test_1053d,jam
test_1054a,chocolate
test_1054b,candy
test_1054c,coffee
test_1054d,tea
test_1055a,jam
test_1055b,tea
test_1055c,juice
test_1055d,honey
test_1056a,tea
test_1056b,rice
test_1056c,coffee
test_1056d,jam
test_1057a,sugar
test_1057b,chocolate
test_1057c,tomatosauce
test_1057d,coffee
test_1058a,candy
test_1058b,cereal
test_1058c,chocolate
test_1058d,chocolate
test_1059a,jam
test_1059b,tea
test_1059c,chocolate
test_1059d,oil
test_1060a,spices
test_1060b,oil
test_1060c,milk
test_1060d,nuts
test_1061a,milk
test_1061b,tea
test_1061c,chocolate
test_1061d,rice
test_1062a,candy
test_1062b,chocolate
test_1062c,tea
test_1062d,jam
test_1063a,candy
test_1063b,water
test_1063c,cake
test_1063d,jam
test_1064a,honey
test_1064b,nuts
test_1064c,chocolate
test_1064d,oil
test_1065a,water
test_1065b,nuts
test_1065c,tomatosauce
test_1065d,tea
test_1066a,chocolate
test_1066b,jam
test_1066c,chocolate
test_1066d,jam
test_1067a,honey
test_1067b,milk
test_1067c,water
test_1067d,honey
test_1068a,spices
test_1068b,honey
test_1068c,tea
test_1068d,candy
test_1069a,rice
test_1069b,cereal
test_1069c,tomatosauce
test_1069d,jam
test_1070a,chocolate
test_1070b,honey
test_1070c,tomatosauce
test_1070d,candy
test_1071a,water
test_1071b,chocolate
test_1071c,tea
test_1071d,coffee
test_1072a,coffee
test_1072b,tomatosauce
test_1072c,milk
test_1072d,juice
test_1073a,chocolate
test_1073b,chips
test_1073c,candy
test_1073d,water
test_1074a,tea
test_1074b,rice
test_1074c,tomatosauce
test_1074d,water
test_1075a,cake
test_1075b,milk
test_1075c,chips
test_1075d,rice
test_1076a,tomatosauce
test_1076b,chocolate
test_1076c,cereal
test_1076d,honey
test_1077a,coffee
test_1077b,chocolate
test_1077c,chips
test_1077d,chocolate
test_1078a,tomatosauce
test_1078b,cake
test_1078c,water
test_1078d,soda
test_1079a,coffee
test_1079b,milk
test_1079c,tomatosauce
test_1079d,spices
test_1080a,chocolate
test_1080b,oil
test_1080c,coffee
test_1080d,juice
test_1081a,jam
test_1081b,fish
test_1081c,candy
test_1081d,jam
test_1082a,rice
test_1082b,juice
test_1082c,tomatosauce
test_1082d,chocolate
test_1083a,juice
test_1083b,oil
test_1083c,coffee
test_1083d,chocolate
test_1084a,honey
test_1084b,milk
test_1084c,beans
test_1084d,candy
test_1085a,cereal
test_1085b,chocolate
test_1085c,chocolate
test_1085d,honey
test_1086a,coffee
test_1086b,coffee
test_1086c,water
test_1086d,chocolate
test_1087a,water
test_1087b,flour
test_1087c,water
test_1087d,chocolate
test_1088a,cake
test_1088b,chocolate
test_1088c,jam
test_1088d,water
test_1089a,milk
test_1089b,oil
test_1089c,water
test_1089d,candy
test_1090a,juice
test_1090b,coffee
test_1090c,water
test_1090d,chocolate
test_1091a,tea
test_1091b,chips
test_1091c,chocolate
test_1091d,milk
test_1092a,chocolate
test_1092b,cereal
test_1092c,tea
test_1092d,coffee
test_1093a,water
test_1093b,cake
test_1093c,milk
test_1093d,water
test_1094a,jam
test_1094b,tomatosauce
test_1094c,honey
test_1094d,chocolate
test_1095a,coffee
test_1095b,chocolate
test_1095c,water
test_1095d,coffee
test_1096a,tea
test_1096b,rice
test_1096c,tea
test_1096d,water
test_1097a,water
test_1097b,vinegar
test_1097c,chocolate
test_1097d,tomatosauce
test_1098a,milk
test_1098b,rice
test_1098c,tomatosauce
test_1098d,coffee
test_1099a,chocolate
test_1099b,coffee
test_1099c,chocolate
test_1099d,honey
test_1100a,tomatosauce
test_1100b,water
test_1100c,chocolate
test_1100d,spices
test_1101a,water
test_1101b,sugar
test_1101c,spices
test_1101d,milk
test_1102a,jam
test_1102b,chocolate
test_1102c,candy
test_1102d,chocolate
test_1103a,water
test_1103b,chocolate
test_1103c,coffee
test_1103d,water
test_1104a,chocolate
test_1104b,milk
test_1104c,flour
test_1104d,water
test_1105a,chocolate
test_1105b,honey
test_1105c,jam
test_1105d,candy
test_1106a,milk
test_1106b,coffee
test_1106c,tomatosauce
test_1106d,candy
test_1107a,chocolate
test_1107b,chips
test_1107c,fish
test_1107d,coffee
test_1108a,chocolate
test_1108b,candy
test_1108c,candy
test_1108d,chips
test_1109a,chocolate
test_1109b,chocolate
test_1109c,coffee
test_1109d,chocolate
test_1110a,coffee
test_1110b,vinegar
test_1110c,candy
test_1110d,coffee
test_1111a,rice
test_1111b,chocolate
test_1111c,cereal
test_1111d,water
test_1112a,coffee
test_1112b,spices
test_1112c,honey
test_1112d,cereal
test_1113a,candy
test_1113b,flour
test_1113c,water
test_1113d,nuts
test_1114a,juice
test_1114b,tea
test_1114c,honey
test_1114d,coffee
test_1115a,honey
test_1115b,honey
test_1115c,chocolate
test_1115d,coffee
test_1116a,cereal
test_1116b,water
test_1116c,chocolate
test_1116d,chocolate
test_1117a,milk
test_1117b,chocolate
test_1117c,fish
test_1117d,water
test_1118a,tomatosauce
test_1118b,cereal
test_1118c,candy
test_1118d,soda
test_1119a,tomatosauce
test_1119b,water
test_1119c,milk
test_1119d,jam
