image_id,label
test_1000a,candy
test_1000b,honey
test_1000c,vinegar
test_1000d,water
test_1001a,pasta
test_1001b,coffee
test_1001c,tomatosauce
test_1001d,honey
test_1002a,sugar
test_1002b,juice
test_1002c,jam
test_1002d,coffee
test_1003a,milk
test_1003b,milk
test_1003c,jam
test_1003d,candy
test_1004a,soda
test_1004b,coffee
test_1004c,milk
test_1004d,tomatosauce
test_1005a,beans
test_1005b,cereal
test_1005c,juice
test_1005d,candy
test_1006a,chocolate
test_1006b,honey
test_1006c,tomatosauce
test_1006d,vinegar
test_1007a,juice
test_1007b,water
test_1007c,soda
test_1007d,tea
test_1008a,soda
test_1008b,juice
test_1008c,cake
test_1008d,vinegar
test_1009a,water
test_1009b,vinegar
test_1009c,sugar
test_1009d,honey
test_1010a,chocolate
test_1010b,chips
test_1010c,water
test_1010d,juice
test_1011a,tomatosauce
test_1011b,coffee
test_1011c,corn
test_1011d,water
test_1012a,candy
test_1012b,spices
test_1012c,tea
test_1012d,soda
test_1013a,candy
test_1013b,candy
test_1013c,spices
test_1013d,jam
test_1014a,candy
test_1014b,coffee
test_1014c,oil
test_1014d,tomatosauce
test_1015a,pasta
test_1015b,vinegar
test_1015c,tomatosauce
test_1015d,cereal
test_1016a,beans
test_1016b,beans
test_1016c,tea
test_1016d,oil
test_1017a,rice
test_1017b,milk
test_1017c,coffee
test_1017d,fish
test_1018a,candy
test_1018b,coffee
test_1018c,coffee
test_1018d,candy
test_1019a,sugar
test_1019b,candy
test_1019c,tea
test_1019d,oil
test_1020a,water
test_1020b,cake
test_1020c,oil
test_1020d,cereal
test_1021a,tomatosauce
test_1021b,water
test_1021c,cereal
test_1021d,spices
test_1022a,honey
test_1022b,juice
test_1022c,chips
test_1022d,cereal
test_1023a,candy
test_1023b,candy
test_1023c,sugar
test_1023d,water
test_1024a,spices
test_1024b,coffee
test_1024c,coffee
test_1024d,chips
test_1025a,chips
test_1025b,water
test_1025c,fish
test_1025d,fish
test_1026a,milk
test_1026b,tea
test_1026c,honey
test_1026d,juice
test_1027a,cake
test_1027b,honey
test_1027c,candy
test_1027d,honey
test_1028a,tea
test_1028b,tea
test_1028c,candy
test_1028d,milk
test_1029a,chocolate
test_1029b,water
test_1029c,water
test_1029d,nuts
test_1030a,milk
test_1030b,water
test_1030c,cereal
test_1030d,jam
test_1031a,spices
test_1031b,milk
test_1031c,honey
test_1031d,water
test_1032a,water
test_1032b,vinegar
test_1032c,water
test_1032d,tea
test_1033a,juice
test_1033b,water
test_1033c,chocolate
test_1033d,milk
test_1034a,vinegar
test_1034b,tea
test_1034c,juice
test_1034d,milk
test_1035a,juice
test_1035b,chocolate
test_1035c,chocolate
test_1035d,spices
test_1036a,coffee
test_1036b,jam
test_1036c,juice
test_1036d,tea
test_1037a,pasta
test_1037b,water
test_1037c,juice
test_1037d,nuts
test_1038a,chips
test_1038b,milk
test_1038c,rice
test_1038d,honey
test_1039a,tomatosauce
test_1039b,nuts
test_1039c,tea
test_1039d,candy
test_1040a,juice
test_1040b,candy
test_1040c,tea
test_1040d,coffee
test_1041a,juice
test_1041b,milk
test_1041c,chocolate
test_1041d,chocolate
test_1042a,beans
test_1042b,juice
test_1042c,sugar
test_1042d,chocolate
test_1043a,chocolate
test_1043b,milk
test_1043c,juice
test_1043d,vinegar
test_1044a,water
test_1044b,cereal
test_1044c,soda
test_1044d,coffee
test_1045a,coffee
test_1045b,chocolate
test_1045c,candy
test_1045d,coffee
test_1046a,candy
test_1046b,beans
test_1046c,coffee
test_1046d,soda
test_1047a,coffee
test_1047b,water
test_1047c,chips
test_1047d,cake
test_1048a,fish
test_1048b,coffee
test_1048c,water
test_1048d,candy
test_1049a,coffee
test_1049b,chips
test_1049c,water
test_1049d,coffee
test_1050a,tea
test_1050b,chocolate
test_1050c,coffee
test_1050d,chips
test_1051a,coffee
test_1051b,chips
test_1051c,candy
test_1051d,honey
test_1052a,tomatosauce
test_1052b,corn
test_1052c,juice
test_1052d,cake
test_1053a,sugar
test_1053b,corn
test_1053c,jam
test_1053d,jam
test_1054a,tea
test_1054b,cereal
test_1054c,tea
test_1054d,rice
test_1055a,jam
test_1055b,cereal
test_1055c,chocolate
test_1055d,tomatosauce
test_1056a,candy
test_1056b,juice
test_1056c,coffee
test_1056d,candy
test_1057a,sugar
test_1057b,nuts
test_1057c,tomatosauce
test_1057d,jam
test_1058a,beans
test_1058b,cereal
test_1058c,spices
test_1058d,chocolate
test_1059a,jam
test_1059b,tea
test_1059c,chocolate
test_1059d,soda
test_1060a,spices
test_1060b,vinegar
test_1060c,juice
test_1060d,candy
test_1061a,milk
test_1061b,cereal
test_1061c,vinegar
test_1061d,cereal
test_1062a,chips
test_1062b,candy
test_1062c,cereal
test_1062d,jam
test_1063a,corn
test_1063b,pasta
test_1063c,spices
test_1063d,jam
test_1064a,beans
test_1064b,fish
test_1064c,chocolate
test_1064d,vinegar
test_1065a,water
test_1065b,chips
test_1065c,juice
test_1065d,cake
test_1066a,candy
test_1066b,tomatosauce
test_1066c,coffee
test_1066d,jam
test_1067a,corn
test_1067b,juice
test_1067c,vinegar
test_1067d,tea
test_1068a,juice
test_1068b,tomatosauce
test_1068c,tea
test_1068d,candy
test_1069a,candy
test_1069b,chocolate
test_1069c,chocolate
test_1069d,coffee
test_1070a,chocolate
test_1070b,pasta
test_1070c,milk
test_1070d,candy
test_1071a,jam
test_1071b,chocolate
test_1071c,tea
test_1071d,water
test_1072a,coffee
test_1072b,fish
test_1072c,juice
test_1072d,water
test_1073a,chocolate
test_1073b,chips
test_1073c,water
test_1073d,water
test_1074a,beans
test_1074b,flour
test_1074c,beans
test_1074d,water
test_1075a,cake
test_1075b,juice
test_1075c,beans
test_1075d,rice
test_1076a,soda
test_1076b,candy
test_1076c,cereal
test_1076d,honey
test_1077a,water
test_1077b,coffee
test_1077c,chips
test_1077d,chips
test_1078a,juice
test_1078b,coffee
test_1078c,chocolate
test_1078d,vinegar
test_1079a,soda
test_1079b,cereal
test_1079c,juice
test_1079d,spices
test_1080a,cake
test_1080b,milk
test_1080c,coffee
test_1080d,juice
test_1081a,spices
test_1081b,fish
test_1081c,cereal
test_1081d,spices
test_1082a,beans
test_1082b,soda
test_1082c,soda
test_1082d,candy
test_1083a,juice
test_1083b,oil
test_1083c,coffee
test_1083d,sugar
test_1084a,jam
test_1084b,tea
test_1084c,tomatosauce
test_1084d,candy
test_1085a,cereal
test_1085b,chocolate
test_1085c,coffee
test_1085d,honey
test_1086a,coffee
test_1086b,coffee
test_1086c,candy
test_1086d,candy
test_1087a,water
test_1087b,milk
test_1087c,water
test_1087d,oil
test_1088a,tea
test_1088b,fish
test_1088c,spices
test_1088d,water
test_1089a,vinegar
test_1089b,oil
test_1089c,water
test_1089d,chips
test_1090a,juice
test_1090b,oil
test_1090c,candy
test_1090d,tomatosauce
test_1091a,candy
test_1091b,coffee
test_1091c,chocolate
test_1091d,chips
test_1092a,chocolate
test_1092b,cereal
test_1092c,coffee
test_1092d,tea
test_1093a,milk
test_1093b,chocolate
test_1093c,flour
test_1093d,water
test_1094a,spices
test_1094b,jam
test_1094c,honey
test_1094d,coffee
test_1095a,vinegar
test_1095b,chips
test_1095c,water
test_1095d,coffee
test_1096a,candy
test_1096b,tea
test_1096c,tea
test_1096d,coffee
test_1097a,vinegar
test_1097b,vinegar
test_1097c,water
test_1097d,soda
test_1098a,candy
test_1098b,cereal
test_1098c,sugar
test_1098d,spices
test_1099a,candy
test_1099b,coffee
test_1099c,nuts
test_1099d,honey
test_1100a,tomatosauce
test_1100b,water
test_1100c,cake
test_1100d,spices
test_1101a,vinegar
test_1101b,coffee
test_1101c,spices
test_1101d,corn
test_1102a,coffee
test_1102b,candy
test_1102c,juice
test_1102d,coffee
test_1103a,soda
test_1103b,chocolate
test_1103c,coffee
test_1103d,water
test_1104a,chocolate
test_1104b,oil
test_1104c,water
test_1104d,water
test_1105a,chocolate
test_1105b,tomatosauce
test_1105c,jam
test_1105d,candy
test_1106a,juice
test_1106b,coffee
test_1106c,tomatosauce
test_1106d,candy
test_1107a,coffee
test_1107b,candy
test_1107c,juice
test_1107d,honey
test_1108a,chocolate
test_1108b,candy
test_1108c,candy
test_1108d,chocolate
test_1109a,juice
test_1109b,chocolate
test_1109c,jam
test_1109d,tea
test_1110a,tomatosauce
test_1110b,oil
test_1110c,candy
test_1110d,spices
test_1111a,rice
test_1111b,chocolate
test_1111c,cereal
test_1111d,pasta
test_1112a,coffee
test_1112b,spices
test_1112c,vinegar
test_1112d,milk
test_1113a,cake
test_1113b,spices
test_1113c,pasta
test_1113d,nuts
test_1114a,cereal
test_1114b,tea
test_1114c,honey
test_1114d,chocolate
test_1115a,coffee
test_1115b,honey
test_1115c,jam
test_1115d,coffee
test_1116a,cake
test_1116b,tea
test_1116c,coffee
test_1116d,nuts
test_1117a,fish
test_1117b,juice
test_1117c,fish
test_1117d,milk
test_1118a,cake
test_1118b,tomatosauce
test_1118c,candy
test_1118d,soda
test_1119a,juice
test_1119b,pasta
test_1119c,milk
test_1119d,jam
test_1120a,soda
test_1120b,vinegar
test_1120c,coffee
test_1120d,water
test_1121a,oil
test_1121b,jam
test_1121c,spices
